iter	Passed	Remaining
175	788	3691
176	792	3684
177	796	3676
178	799	3668
179	802	3657
180	805	3646
181	810	3640
182	813	3631
183	817	3624
184	820	3615
185	824	3607
186	827	3599
187	831	3590
188	835	3583
189	838	3576
190	842	3567
191	845	3559
192	849	3553
193	853	3545
194	856	3537
195	860	3529
196	864	3522
197	867	3515
198	871	3507
199	875	3500
200	878	3493
201	882	3485
202	886	3478
203	890	3473
204	894	3470
205	898	3464
206	902	3457
207	928	3534
208	941	3563
209	945	3556
210	949	3549
211	953	3542
212	957	3536
213	961	3529
214	965	3523
215	969	3519
216	974	3516
217	978	3509
218	981	3501
219	985	3495
220	989	3487
221	993	3482
222	997	3475
223	1001	3469
224	1005	3461
225	1008	3454
226	1011	3445
227	1015	3437
228	1018	3430
229	1022	3424
230	1026	3418
231	1030	3410
232	1033	3402
233	1037	3396
234	1041	3389
235	1045	3383
236	1048	3375
237	1052	3369
238	1054	3358
239	1058	3351
240	1061	3342
241	1063	3330
242	1065	3318
243	1068	3310
244	1071	3302
245	1074	3294
246	1079	3290
247	1082	3283
248	1086	3276
249	1089	3269
250	1092	3260
251	1096	3254
252	1099	3247
253	1103	3240
254	1105	3230
255	1110	3227
256	1114	3221
257	1118	3216
258	1123	3214
259	1129	3213
260	1133	3209
261	1137	3204
262	1141	3198
263	1145	3193
264	1148	3185
265	1153	3183
266	1156	3175
267	1182	3228
268	1185	3222
269	1189	3217
270	1193	3211
271	1196	3202
272	1199	3193
273	1203	3187
274	1206	3181
275	1210	3174
276	1214	3169
277	1216	3160
278	1220	3154
279	1223	3147
280	1227	3141
281	1230	3133
282	1234	3128
283	1238	3123
284	1243	3118
285	1247	3114
286	1251	3110
287	1255	3104
288	1258	3096
289	1261	3087
290	1265	3082
291	1269	3077
292	1272	3070
293	1276	3066
294	1280	3059
295	1284	3054
296	1288	3049
297	1291	3042
298	1295	3036
299	1298	3030
300	1302	3024
301	1306	3019
302	1310	3014
303	1314	3009
304	1318	3003
305	1322	2998
306	1325	2992
307	1329	2986
308	1333	2981
309	1337	2976
310	1341	2971
311	1344	2965
312	1348	2960
313	1352	2955
314	1356	2949
315	1360	2944
316	1364	2938
317	1367	2932
318	1371	2927
319	1374	2921
320	1379	2917
321	1382	2911
322	1386	2906
323	1390	2901
324	1394	2896
325	1398	2890
326	1402	2885
327	1405	2879
328	1410	2876
329	1413	2870
330	1417	2865
331	1422	2861
332	1426	2856
333	1430	2851
334	1433	2845
335	1437	2840
336	1441	2836
337	1445	2831
338	1449	2825
339	1452	2820
340	1455	2813
341	1459	2807
342	1463	2803
343	1467	2798
344	1471	2794
345	1475	2788
346	1478	2783
347	1482	2777
348	1486	2772
349	1490	2767
350	1493	2762
351	1497	2756
352	1501	2752
353	1505	2746
354	1509	2742
355	1513	2737
356	1517	2733
357	1521	2728
358	1524	2722
359	1528	2716
360	1531	2711
361	1535	2706
362	1539	2700
363	1542	2695
364	1546	2690
365	1550	2685
366	1554	2680
367	1557	2675
368	1562	2671
369	1566	2666
370	1569	2661
371	1573	2656
372	1579	2655
373	1583	2651
374	1587	2646
375	1591	2642
376	1595	2636
377	1599	2631
378	1603	2626
379	1606	2620
380	1609	2615
381	1613	2609
382	1616	2604
383	1620	2599
384	1623	2593
385	1627	2588
386	1631	2583
387	1634	2578
388	1638	2573
389	1642	2568
390	1646	2563
391	1649	2558
392	1653	2554
393	1657	2549
394	1660	2544
395	1665	2539
396	1669	2535
397	1672	2530
398	1676	2525
399	1680	2521
400	1684	2516
401	1688	2511
402	1691	2506
403	1695	2501
404	1699	2497
405	1703	2492
406	1706	2487
407	1710	2482
408	1714	2477
409	1718	2472
410	1722	2467
411	1725	2462
412	1728	2456
413	1732	2451
414	1736	2447
415	1739	2442
416	1744	2438
417	1748	2434
418	1751	2428
419	1755	2423
420	1759	2419
421	1763	2414
422	1766	2409
423	1770	2404
424	1773	2399
425	1777	2395
