iter	Accuracy	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false	F1:use_weights=true	F1:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
201	0.7400740075	0.6861562323	0.7400740075	0.74	0.7381360183	0.74	0.7436808408	0.7474747475	0.7326732673	0.7326732673
202	0.7400740075	0.6861205584	0.7400740075	0.74	0.7381360183	0.74	0.7436808408	0.7474747475	0.7326732673	0.7326732673
203	0.7400740075	0.686099381	0.7400740075	0.74	0.7381360183	0.74	0.7436808408	0.7474747475	0.7326732673	0.7326732673
204	0.7375487549	0.6860258266	0.7375487549	0.7375	0.7362629061	0.7381546135	0.7398878919	0.743718593	0.7326732673	0.7326732673
205	0.7375487549	0.6860156911	0.7375487549	0.7375	0.7362629061	0.7381546135	0.7398878919	0.743718593	0.7326732673	0.7326732673
206	0.7375487549	0.6860013109	0.7375487549	0.7375	0.7362629061	0.7381546135	0.7398878919	0.743718593	0.7326732673	0.7326732673
207	0.7400240024	0.6859408443	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
208	0.7400240024	0.6859172722	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
209	0.7400740075	0.6858918285	0.7400740075	0.74	0.7381360183	0.74	0.7436808408	0.7474747475	0.7326732673	0.7326732673
210	0.7324982498	0.6858222004	0.7324982498	0.7325	0.7325450572	0.7344913151	0.7324168918	0.736318408	0.7326732673	0.7326732673
211	0.7324982498	0.6857912851	0.7324982498	0.7325	0.7325450572	0.7344913151	0.7324168918	0.736318408	0.7326732673	0.7326732673
212	0.7399739974	0.6857359593	0.7399739974	0.74	0.7406483771	0.7425742574	0.7387324606	0.7425742574	0.7425742574	0.7425742574
213	0.7349734973	0.685692379	0.7349734973	0.735	0.7356740292	0.7376237624	0.7337345763	0.7376237624	0.7376237624	0.7376237624
214	0.7349734973	0.685663269	0.7349734973	0.735	0.7356740292	0.7376237624	0.7337345763	0.7376237624	0.7376237624	0.7376237624
215	0.7374987499	0.685626313	0.7374987499	0.7375	0.7375315598	0.7394540943	0.7374393802	0.7412935323	0.7376237624	0.7376237624
216	0.7374987499	0.68558799	0.7374987499	0.7375	0.7375315598	0.7394540943	0.7374393802	0.7412935323	0.7376237624	0.7376237624
217	0.7399739974	0.6855698565	0.7399739974	0.74	0.7406483771	0.7425742574	0.7387324606	0.7425742574	0.7425742574	0.7425742574
218	0.7400240024	0.6855321106	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
219	0.7400240024	0.6854761318	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
220	0.7400240024	0.685444585	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
221	0.7400240024	0.6854271126	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
222	0.7374987499	0.6854165051	0.7374987499	0.7375	0.7375315598	0.7394540943	0.7374393802	0.7412935323	0.7376237624	0.7376237624
223	0.7374987499	0.685378975	0.7374987499	0.7375	0.7375315598	0.7394540943	0.7374393802	0.7412935323	0.7376237624	0.7376237624
224	0.7400740075	0.6853365701	0.7400740075	0.74	0.7381360183	0.74	0.7436808408	0.7474747475	0.7326732673	0.7326732673
225	0.7400740075	0.6853230391	0.7400740075	0.74	0.7381360183	0.74	0.7436808408	0.7474747475	0.7326732673	0.7326732673
226	0.7400740075	0.6852954822	0.7400740075	0.74	0.7381360183	0.74	0.7436808408	0.7474747475	0.7326732673	0.7326732673
227	0.7375487549	0.6852368046	0.7375487549	0.7375	0.7362629061	0.7381546135	0.7398878919	0.743718593	0.7326732673	0.7326732673
228	0.7375487549	0.6852154961	0.7375487549	0.7375	0.7362629061	0.7381546135	0.7398878919	0.743718593	0.7326732673	0.7326732673
229	0.7375487549	0.6851959158	0.7375487549	0.7375	0.7362629061	0.7381546135	0.7398878919	0.743718593	0.7326732673	0.7326732673
230	0.7375487549	0.6851639463	0.7375487549	0.7375	0.7362629061	0.7381546135	0.7398878919	0.743718593	0.7326732673	0.7326732673
231	0.7400240024	0.685105369	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
232	0.7400240024	0.6850770558	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
233	0.7400240024	0.6850685817	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
234	0.7400240024	0.6850571442	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
235	0.7400240024	0.6850328973	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
236	0.7375487549	0.6849812307	0.7375487549	0.7375	0.7362629061	0.7381546135	0.7398878919	0.743718593	0.7326732673	0.7326732673
237	0.7375487549	0.6849681476	0.7375487549	0.7375	0.7362629061	0.7381546135	0.7398878919	0.743718593	0.7326732673	0.7326732673
238	0.7400240024	0.6849477362	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
239	0.742549255	0.684927696	0.742549255	0.7425	0.7412749045	0.7431421446	0.7449623718	0.7487437186	0.7376237624	0.7376237624
240	0.7375487549	0.6848969978	0.7375487549	0.7375	0.7362629061	0.7381546135	0.7398878919	0.743718593	0.7326732673	0.7326732673
241	0.7400240024	0.6848436397	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
242	0.7400240024	0.6848238245	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
243	0.7400240024	0.6848137379	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
244	0.7400240024	0.6847914285	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
245	0.7400240024	0.6847723189	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
246	0.7424992499	0.6847611753	0.7424992499	0.7425	0.742518561	0.7444168734	0.742462873	0.7462686567	0.7425742574	0.7425742574
247	0.7424992499	0.6847276931	0.7424992499	0.7425	0.742518561	0.7444168734	0.742462873	0.7462686567	0.7425742574	0.7425742574
248	0.7400240024	0.6847026072	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
249	0.7424992499	0.6846702039	0.7424992499	0.7425	0.742518561	0.7444168734	0.742462873	0.7462686567	0.7425742574	0.7425742574
250	0.7400240024	0.6846500402	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
251	0.7374987499	0.6846245638	0.7374987499	0.7375	0.7375315598	0.7394540943	0.7374393802	0.7412935323	0.7376237624	0.7376237624
252	0.7350235024	0.6846031613	0.7350235024	0.735	0.7343992763	0.736318408	0.7361334366	0.74	0.7326732673	0.7326732673
253	0.7374987499	0.6845773332	0.7374987499	0.7375	0.7375315598	0.7394540943	0.7374393802	0.7412935323	0.7376237624	0.7376237624
254	0.7350235024	0.6845504151	0.7350235024	0.735	0.7343992763	0.736318408	0.7361334366	0.74	0.7326732673	0.7326732673
255	0.7350235024	0.6845371506	0.7350235024	0.735	0.7343992763	0.736318408	0.7361334366	0.74	0.7326732673	0.7326732673
256	0.7350235024	0.6845107093	0.7350235024	0.735	0.7343992763	0.736318408	0.7361334366	0.74	0.7326732673	0.7326732673
257	0.7350235024	0.6844834458	0.7350235024	0.735	0.7343992763	0.736318408	0.7361334366	0.74	0.7326732673	0.7326732673
258	0.7350235024	0.6844428609	0.7350235024	0.735	0.7343992763	0.736318408	0.7361334366	0.74	0.7326732673	0.7326732673
259	0.7325482549	0.6844309376	0.7325482549	0.7325	0.7312514113	0.7331670823	0.7348144369	0.7386934673	0.7277227723	0.7277227723
260	0.7300730074	0.6844047731	0.7300730074	0.73	0.7280878482	0.73	0.7334821842	0.7373737374	0.7227722772	0.7227722772
261	0.7325482549	0.6843835832	0.7325482549	0.7325	0.7312514113	0.7331670823	0.7348144369	0.7386934673	0.7277227723	0.7277227723
262	0.7350235024	0.6843412281	0.7350235024	0.735	0.7343992763	0.736318408	0.7361334366	0.74	0.7326732673	0.7326732673
263	0.7350235024	0.6843223361	0.7350235024	0.735	0.7343992763	0.736318408	0.7361334366	0.74	0.7326732673	0.7326732673
264	0.7350235024	0.6843043325	0.7350235024	0.735	0.7343992763	0.736318408	0.7361334366	0.74	0.7326732673	0.7326732673
265	0.7325482549	0.684283946	0.7325482549	0.7325	0.7312514113	0.7331670823	0.7348144369	0.7386934673	0.7277227723	0.7277227723
266	0.7375487549	0.6842497273	0.7375487549	0.7375	0.7362629061	0.7381546135	0.7398878919	0.743718593	0.7326732673	0.7326732673
267	0.7400740075	0.6841921653	0.7400740075	0.74	0.7381360183	0.74	0.7436808408	0.7474747475	0.7326732673	0.7326732673
268	0.742549255	0.6841518109	0.742549255	0.7425	0.7412749045	0.7431421446	0.7449623718	0.7487437186	0.7376237624	0.7376237624
269	0.74259926	0.6841082325	0.74259926	0.7425	0.7400186855	0.7418546366	0.7475128782	0.7512690355	0.7326732673	0.7326732673
270	0.73759876	0.68405173	0.73759876	0.7375	0.734981438	0.7368421053	0.7423863656	0.7461928934	0.7277227723	0.7277227723
271	0.7450745075	0.6840251524	0.7450745075	0.745	0.7431608627	0.745	0.7487817221	0.7525252525	0.7376237624	0.7376237624
272	0.7400240024	0.6839922514	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
273	0.7450745075	0.6839488157	0.7450745075	0.745	0.7431608627	0.745	0.7487817221	0.7525252525	0.7376237624	0.7376237624
274	0.7450745075	0.6839199538	0.7450745075	0.745	0.7431608627	0.745	0.7487817221	0.7525252525	0.7376237624	0.7376237624
275	0.7400240024	0.6838770483	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
276	0.747549755	0.683854654	0.747549755	0.7475	0.7462874067	0.7481296758	0.7500378769	0.7537688442	0.7425742574	0.7425742574
277	0.7526002601	0.6838222894	0.7526002601	0.7525	0.7500947071	0.7518796992	0.7577690426	0.7614213198	0.7425742574	0.7425742574
278	0.7475997601	0.6837865516	0.7475997601	0.7475	0.7450564418	0.7468671679	0.7526404371	0.7563451777	0.7376237624	0.7376237624
279	0.7450245025	0.6837614342	0.7450245025	0.745	0.7443982136	0.7462686567	0.746231152	0.75	0.7425742574	0.7425742574
280	0.7475997601	0.6837238384	0.7475997601	0.7475	0.7450564418	0.7468671679	0.7526404371	0.7563451777	0.7376237624	0.7376237624
281	0.7475997601	0.6836755163	0.7475997601	0.7475	0.7450564418	0.7468671679	0.7526404371	0.7563451777	0.7376237624	0.7376237624
282	0.7475997601	0.6836402293	0.7475997601	0.7475	0.7450564418	0.7468671679	0.7526404371	0.7563451777	0.7376237624	0.7376237624
283	0.7475997601	0.6836256451	0.7475997601	0.7475	0.7450564418	0.7468671679	0.7526404371	0.7563451777	0.7376237624	0.7376237624
284	0.7501750177	0.6836006062	0.7501750177	0.75	0.7457247539	0.7474747475	0.7592496595	0.7628865979	0.7326732673	0.7326732673
285	0.7501750177	0.6835888596	0.7501750177	0.75	0.7457247539	0.7474747475	0.7592496595	0.7628865979	0.7326732673	0.7326732673
286	0.7501750177	0.6835589264	0.7501750177	0.75	0.7457247539	0.7474747475	0.7592496595	0.7628865979	0.7326732673	0.7326732673
287	0.7501250126	0.6835348372	0.7501250126	0.75	0.7469617158	0.7487437186	0.7565391285	0.7602040816	0.7376237624	0.7376237624
288	0.7475997601	0.6835110858	0.7475997601	0.7475	0.7450564418	0.7468671679	0.7526404371	0.7563451777	0.7376237624	0.7376237624
289	0.747549755	0.6834878366	0.747549755	0.7475	0.7462874067	0.7481296758	0.7500378769	0.7537688442	0.7425742574	0.7425742574
290	0.7500750076	0.6834633305	0.7500750076	0.75	0.7481862134	0.75	0.7538836393	0.7575757576	0.7425742574	0.7425742574
291	0.7500750076	0.6834142601	0.7500750076	0.75	0.7481862134	0.75	0.7538836393	0.7575757576	0.7425742574	0.7425742574
292	0.7500750076	0.683395626	0.7500750076	0.75	0.7481862134	0.75	0.7538836393	0.7575757576	0.7425742574	0.7425742574
293	0.7550755076	0.6833538938	0.7550755076	0.755	0.7532120705	0.755	0.7589865926	0.7626262626	0.7475247525	0.7475247525
294	0.7500750076	0.6832906423	0.7500750076	0.75	0.7481862134	0.75	0.7538836393	0.7575757576	0.7425742574	0.7425742574
295	0.7500750076	0.6832819098	0.7500750076	0.75	0.7481862134	0.75	0.7538836393	0.7575757576	0.7425742574	0.7425742574
296	0.7500750076	0.683262308	0.7500750076	0.75	0.7481862134	0.75	0.7538836393	0.7575757576	0.7425742574	0.7425742574
297	0.7500250025	0.6831956533	0.7500250025	0.75	0.7493984341	0.7512437811	0.7512815321	0.755	0.7475247525	0.7475247525
298	0.7500250025	0.6831517907	0.7500250025	0.75	0.7493984341	0.7512437811	0.7512815321	0.755	0.7475247525	0.7475247525
299	0.7525502551	0.6831271334	0.7525502551	0.7525	0.7513004128	0.753117207	0.7551144076	0.7587939698	0.7475247525	0.7475247525
300	0.7525502551	0.6830865671	0.7525502551	0.7525	0.7513004128	0.753117207	0.7551144076	0.7587939698	0.7475247525	0.7475247525
301	0.7550255026	0.6830730515	0.7550255026	0.755	0.7543991559	0.7562189055	0.7563329275	0.76	0.7524752475	0.7524752475
302	0.7550255026	0.6830410348	0.7550255026	0.755	0.7543991559	0.7562189055	0.7563329275	0.76	0.7524752475	0.7524752475
303	0.75250025	0.6830166999	0.75250025	0.7525	0.7524940599	0.7543424318	0.7525128732	0.7562189055	0.7524752475	0.7524752475
304	0.75250025	0.6829788469	0.75250025	0.7525	0.7524940599	0.7543424318	0.7525128732	0.7562189055	0.7524752475	0.7524752475
305	0.75250025	0.6829545761	0.75250025	0.7525	0.7524940599	0.7543424318	0.7525128732	0.7562189055	0.7524752475	0.7524752475
306	0.75250025	0.6829215504	0.75250025	0.7525	0.7524940599	0.7543424318	0.7525128732	0.7562189055	0.7524752475	0.7524752475
307	0.75250025	0.6828906288	0.75250025	0.7525	0.7524940599	0.7543424318	0.7525128732	0.7562189055	0.7524752475	0.7524752475
308	0.75250025	0.6828427491	0.75250025	0.7525	0.7524940599	0.7543424318	0.7525128732	0.7562189055	0.7524752475	0.7524752475
309	0.752450245	0.6828073929	0.752450245	0.7525	0.7536758284	0.7555555556	0.749962862	0.7536945813	0.7574257426	0.7574257426
310	0.752450245	0.6827877471	0.752450245	0.7525	0.7536758284	0.7555555556	0.749962862	0.7536945813	0.7574257426	0.7574257426
311	0.75250025	0.6827577942	0.75250025	0.7525	0.7524940599	0.7543424318	0.7525128732	0.7562189055	0.7524752475	0.7524752475
312	0.7549754975	0.6826993988	0.7549754975	0.755	0.7555743983	0.7574257426	0.7537320823	0.7574257426	0.7574257426	0.7574257426
313	0.7549754975	0.6826704503	0.7549754975	0.755	0.7555743983	0.7574257426	0.7537320823	0.7574257426	0.7574257426	0.7574257426
314	0.7500250025	0.6826353413	0.7500250025	0.75	0.7493984341	0.7512437811	0.7512815321	0.755	0.7475247525	0.7475247525
315	0.75250025	0.6826209503	0.75250025	0.7525	0.7524940599	0.7543424318	0.7525128732	0.7562189055	0.7524752475	0.7524752475
316	0.75250025	0.6825933017	0.75250025	0.7525	0.7524940599	0.7543424318	0.7525128732	0.7562189055	0.7524752475	0.7524752475
317	0.75250025	0.6825673689	0.75250025	0.7525	0.7524940599	0.7543424318	0.7525128732	0.7562189055	0.7524752475	0.7524752475
318	0.7549754975	0.6825229411	0.7549754975	0.755	0.7555743983	0.7574257426	0.7537320823	0.7574257426	0.7574257426	0.7574257426
319	0.7549754975	0.682482111	0.7549754975	0.755	0.7555743983	0.7574257426	0.7537320823	0.7574257426	0.7574257426	0.7574257426
320	0.7549754975	0.6824540896	0.7549754975	0.755	0.7555743983	0.7574257426	0.7537320823	0.7574257426	0.7574257426	0.7574257426
321	0.7575007501	0.6824162439	0.7575007501	0.7575	0.7574825576	0.7593052109	0.7575393812	0.7611940299	0.7574257426	0.7574257426
322	0.7575007501	0.6823859567	0.7575007501	0.7575	0.7574825576	0.7593052109	0.7575393812	0.7611940299	0.7574257426	0.7574257426
323	0.7575007501	0.6823620401	0.7575007501	0.7575	0.7574825576	0.7593052109	0.7575393812	0.7611940299	0.7574257426	0.7574257426
324	0.7549754975	0.6823362438	0.7549754975	0.755	0.7555743983	0.7574257426	0.7537320823	0.7574257426	0.7574257426	0.7574257426
325	0.7549754975	0.6823061529	0.7549754975	0.755	0.7555743983	0.7574257426	0.7537320823	0.7574257426	0.7574257426	0.7574257426
326	0.757450745	0.6822893114	0.757450745	0.7575	0.7586395622	0.7604938272	0.7549393377	0.7586206897	0.7623762376	0.7623762376
327	0.757450745	0.6822867006	0.757450745	0.7575	0.7586395622	0.7604938272	0.7549393377	0.7586206897	0.7623762376	0.7623762376
328	0.76240124	0.6822625846	0.76240124	0.7625	0.7647248131	0.7665847666	0.7573186841	0.7609756098	0.7722772277	0.7722772277
329	0.75740074	0.6822347354	0.75740074	0.7575	0.7597851094	0.7616707617	0.752390288	0.756097561	0.7673267327	0.7673267327
330	0.7599259925	0.6822237373	0.7599259925	0.76	0.7616896636	0.763546798	0.7561348145	0.7598039216	0.7673267327	0.7673267327
331	0.75740074	0.682186515	0.75740074	0.7575	0.7597851094	0.7616707617	0.752390288	0.756097561	0.7673267327	0.7673267327
332	0.75740074	0.6821712636	0.75740074	0.7575	0.7597851094	0.7616707617	0.752390288	0.756097561	0.7673267327	0.7673267327
333	0.7625012501	0.6821270124	0.7625012501	0.7625	0.7624715543	0.7642679901	0.7625668948	0.7661691542	0.7623762376	0.7623762376
334	0.7599759976	0.6821006951	0.7599759976	0.76	0.7605507315	0.7623762376	0.7587339468	0.7623762376	0.7623762376	0.7623762376
335	0.7600260026	0.6820685732	0.7600260026	0.76	0.7594003792	0.7611940299	0.7613853387	0.765	0.7574257426	0.7574257426
336	0.7625012501	0.6820472628	0.7625012501	0.7625	0.7624715543	0.7642679901	0.7625668948	0.7661691542	0.7623762376	0.7623762376
337	0.7575507551	0.6819718487	0.7575507551	0.7575	0.7563139227	0.7581047382	0.760191964	0.7638190955	0.7524752475	0.7524752475
338	0.7550255026	0.6819265177	0.7550255026	0.755	0.7543991559	0.7562189055	0.7563329275	0.76	0.7524752475	0.7524752475
339	0.7525502551	0.6818909668	0.7525502551	0.7525	0.7513004128	0.753117207	0.7551144076	0.7587939698	0.7475247525	0.7475247525
340	0.7525502551	0.6818444856	0.7525502551	0.7525	0.7513004128	0.753117207	0.7551144076	0.7587939698	0.7475247525	0.7475247525
341	0.7525502551	0.6818208208	0.7525502551	0.7525	0.7513004128	0.753117207	0.7551144076	0.7587939698	0.7475247525	0.7475247525
342	0.7525502551	0.6817807637	0.7525502551	0.7525	0.7513004128	0.753117207	0.7551144076	0.7587939698	0.7475247525	0.7475247525
343	0.7549754975	0.6817251085	0.7549754975	0.755	0.7555743983	0.7574257426	0.7537320823	0.7574257426	0.7574257426	0.7574257426
344	0.7550255026	0.6816573747	0.7550255026	0.755	0.7543991559	0.7562189055	0.7563329275	0.76	0.7524752475	0.7524752475
345	0.7550255026	0.6816402215	0.7550255026	0.755	0.7543991559	0.7562189055	0.7563329275	0.76	0.7524752475	0.7524752475
346	0.7550255026	0.6816351503	0.7550255026	0.755	0.7543991559	0.7562189055	0.7563329275	0.76	0.7524752475	0.7524752475
347	0.7550255026	0.6815980573	0.7550255026	0.755	0.7543991559	0.7562189055	0.7563329275	0.76	0.7524752475	0.7524752475
348	0.7575007501	0.6815731926	0.7575007501	0.7575	0.7574825576	0.7593052109	0.7575393812	0.7611940299	0.7574257426	0.7574257426
349	0.75250025	0.681544109	0.75250025	0.7525	0.7524940599	0.7543424318	0.7525128732	0.7562189055	0.7524752475	0.7524752475
350	0.74749975	0.6815150806	0.74749975	0.7475	0.7475060611	0.7493796526	0.7474873706	0.7512437811	0.7475247525	0.7475247525
351	0.7474497449	0.68149942	0.7474497449	0.7475	0.7487125886	0.750617284	0.7449873718	0.7487684729	0.7524752475	0.7524752475
352	0.7499749975	0.6814428513	0.7499749975	0.75	0.7505985616	0.7524752475	0.7487312133	0.7524752475	0.7524752475	0.7524752475
353	0.752450245	0.6814150821	0.752450245	0.7525	0.7536758284	0.7555555556	0.749962862	0.7536945813	0.7574257426	0.7574257426
354	0.7499749975	0.6813935952	0.7499749975	0.75	0.7505985616	0.7524752475	0.7487312133	0.7524752475	0.7524752475	0.7524752475
355	0.7550255026	0.6813251778	0.7550255026	0.755	0.7543991559	0.7562189055	0.7563329275	0.76	0.7524752475	0.7524752475
356	0.7575507551	0.6812948394	0.7575507551	0.7575	0.7563139227	0.7581047382	0.760191964	0.7638190955	0.7524752475	0.7524752475
357	0.7575507551	0.6812781373	0.7575507551	0.7575	0.7563139227	0.7581047382	0.760191964	0.7638190955	0.7524752475	0.7524752475
358	0.7550255026	0.6812516211	0.7550255026	0.755	0.7543991559	0.7562189055	0.7563329275	0.76	0.7524752475	0.7524752475
359	0.7500750076	0.6811993622	0.7500750076	0.75	0.7481862134	0.75	0.7538836393	0.7575757576	0.7425742574	0.7425742574
360	0.7525502551	0.6811730367	0.7525502551	0.7525	0.7513004128	0.753117207	0.7551144076	0.7587939698	0.7475247525	0.7475247525
361	0.7550255026	0.6811330542	0.7550255026	0.755	0.7543991559	0.7562189055	0.7563329275	0.76	0.7524752475	0.7524752475
362	0.7550255026	0.6811276953	0.7550255026	0.755	0.7543991559	0.7562189055	0.7563329275	0.76	0.7524752475	0.7524752475
363	0.7550255026	0.6811133543	0.7550255026	0.755	0.7543991559	0.7562189055	0.7563329275	0.76	0.7524752475	0.7524752475
364	0.7525502551	0.6810852369	0.7525502551	0.7525	0.7513004128	0.753117207	0.7551144076	0.7587939698	0.7475247525	0.7475247525
365	0.7525502551	0.681058597	0.7525502551	0.7525	0.7513004128	0.753117207	0.7551144076	0.7587939698	0.7475247525	0.7475247525
366	0.7500750076	0.681030377	0.7500750076	0.75	0.7481862134	0.75	0.7538836393	0.7575757576	0.7425742574	0.7425742574
367	0.7500750076	0.6809996673	0.7500750076	0.75	0.7481862134	0.75	0.7538836393	0.7575757576	0.7425742574	0.7425742574
368	0.7500750076	0.6809804193	0.7500750076	0.75	0.7481862134	0.75	0.7538836393	0.7575757576	0.7425742574	0.7425742574
369	0.7500750076	0.6809502919	0.7500750076	0.75	0.7481862134	0.75	0.7538836393	0.7575757576	0.7425742574	0.7425742574
370	0.7525502551	0.6809222465	0.7525502551	0.7525	0.7513004128	0.753117207	0.7551144076	0.7587939698	0.7475247525	0.7475247525
371	0.7525502551	0.6808310731	0.7525502551	0.7525	0.7513004128	0.753117207	0.7551144076	0.7587939698	0.7475247525	0.7475247525
372	0.7550255026	0.6808023585	0.7550255026	0.755	0.7543991559	0.7562189055	0.7563329275	0.76	0.7524752475	0.7524752475
373	0.7525502551	0.6807616985	0.7525502551	0.7525	0.7513004128	0.753117207	0.7551144076	0.7587939698	0.7475247525	0.7475247525
374	0.7525502551	0.6807363124	0.7525502551	0.7525	0.7513004128	0.753117207	0.7551144076	0.7587939698	0.7475247525	0.7475247525
375	0.7525502551	0.6807030749	0.7525502551	0.7525	0.7513004128	0.753117207	0.7551144076	0.7587939698	0.7475247525	0.7475247525
376	0.747549755	0.6806702591	0.747549755	0.7475	0.7462874067	0.7481296758	0.7500378769	0.7537688442	0.7425742574	0.7425742574
377	0.747549755	0.6806521872	0.747549755	0.7475	0.7462874067	0.7481296758	0.7500378769	0.7537688442	0.7425742574	0.7425742574
378	0.747549755	0.6806355914	0.747549755	0.7475	0.7462874067	0.7481296758	0.7500378769	0.7537688442	0.7425742574	0.7425742574
379	0.7475997601	0.6805833601	0.7475997601	0.7475	0.7450564418	0.7468671679	0.7526404371	0.7563451777	0.7376237624	0.7376237624
380	0.7525502551	0.6805565159	0.7525502551	0.7525	0.7513004128	0.753117207	0.7551144076	0.7587939698	0.7475247525	0.7475247525
381	0.7475997601	0.680517601	0.7475997601	0.7475	0.7450564418	0.7468671679	0.7526404371	0.7563451777	0.7376237624	0.7376237624
382	0.7500750076	0.68049715	0.7500750076	0.75	0.7481862134	0.75	0.7538836393	0.7575757576	0.7425742574	0.7425742574
383	0.7500750076	0.6804344315	0.7500750076	0.75	0.7481862134	0.75	0.7538836393	0.7575757576	0.7425742574	0.7425742574
384	0.7475997601	0.6804192711	0.7475997601	0.7475	0.7450564418	0.7468671679	0.7526404371	0.7563451777	0.7376237624	0.7376237624
385	0.7475997601	0.68040488	0.7475997601	0.7475	0.7450564418	0.7468671679	0.7526404371	0.7563451777	0.7376237624	0.7376237624
386	0.7475997601	0.680400937	0.7475997601	0.7475	0.7450564418	0.7468671679	0.7526404371	0.7563451777	0.7376237624	0.7376237624
387	0.7501250126	0.6803755082	0.7501250126	0.75	0.7469617158	0.7487437186	0.7565391285	0.7602040816	0.7376237624	0.7376237624
388	0.7526002601	0.680343933	0.7526002601	0.7525	0.7500947071	0.7518796992	0.7577690426	0.7614213198	0.7425742574	0.7425742574
389	0.7501250126	0.6803022649	0.7501250126	0.75	0.7469617158	0.7487437186	0.7565391285	0.7602040816	0.7376237624	0.7376237624
390	0.7501250126	0.6802626127	0.7501250126	0.75	0.7469617158	0.7487437186	0.7565391285	0.7602040816	0.7376237624	0.7376237624
391	0.7501250126	0.6802141649	0.7501250126	0.75	0.7469617158	0.7487437186	0.7565391285	0.7602040816	0.7376237624	0.7376237624
392	0.7476497651	0.6801870903	0.7476497651	0.7475	0.7438129789	0.7455919395	0.7552966611	0.758974359	0.7326732673	0.7326732673
393	0.7476497651	0.6801564356	0.7476497651	0.7475	0.7438129789	0.7455919395	0.7552966611	0.758974359	0.7326732673	0.7326732673
394	0.7476497651	0.6801264085	0.7476497651	0.7475	0.7438129789	0.7455919395	0.7552966611	0.758974359	0.7326732673	0.7326732673
395	0.7501250126	0.680115811	0.7501250126	0.75	0.7469617158	0.7487437186	0.7565391285	0.7602040816	0.7376237624	0.7376237624
396	0.7501250126	0.6800851172	0.7501250126	0.75	0.7469617158	0.7487437186	0.7565391285	0.7602040816	0.7376237624	0.7376237624
397	0.7501250126	0.6800524732	0.7501250126	0.75	0.7469617158	0.7487437186	0.7565391285	0.7602040816	0.7376237624	0.7376237624
398	0.7475997601	0.6800308226	0.7475997601	0.7475	0.7450564418	0.7468671679	0.7526404371	0.7563451777	0.7376237624	0.7376237624
399	0.7526502652	0.6799895749	0.7526502652	0.7525	0.7488767592	0.7506297229	0.7604784208	0.7641025641	0.7376237624	0.7376237624
400	0.7526502652	0.6799801303	0.7526502652	0.7525	0.7488767592	0.7506297229	0.7604784208	0.7641025641	0.7376237624	0.7376237624
401	0.7501250126	0.6799613315	0.7501250126	0.75	0.7469617158	0.7487437186	0.7565391285	0.7602040816	0.7376237624	0.7376237624
402	0.7526002601	0.6799245236	0.7526002601	0.7525	0.7500947071	0.7518796992	0.7577690426	0.7614213198	0.7425742574	0.7425742574
403	0.7525502551	0.6798903143	0.7525502551	0.7525	0.7513004128	0.753117207	0.7551144076	0.7587939698	0.7475247525	0.7475247525
404	0.7525502551	0.6798708512	0.7525502551	0.7525	0.7513004128	0.753117207	0.7551144076	0.7587939698	0.7475247525	0.7475247525
405	0.7525502551	0.6798392256	0.7525502551	0.7525	0.7513004128	0.753117207	0.7551144076	0.7587939698	0.7475247525	0.7475247525
